Delivery Date,Delivery Hour,Settlement Point,Settlement Point Price
01/02/2022,9,HB_NORTH,46.77
01/02/2022,9,HB_SOUTH,36.24
01/02/2022,9,HB_WEST,45.88
01/02/2022,10,HB_HOUSTON,36.6
01/02/2022,10,HB_NORTH,37.65
01/02/2022,10,HB_SOUTH,30.71
01/02/2022,10,HB_WEST,37.36
01/02/2022,11,HB_HOUSTON,34.77
01/02/2022,11,HB_NORTH,35.47
01/02/2022,11,HB_SOUTH,29.54
01/02/2022,11,HB_WEST,35.61
01/02/2022,12,HB_HOUSTON,32.75
01/02/2022,12,HB_NORTH,35
01/02/2022,12,HB_SOUTH,28.66
01/02/2022,12,HB_WEST,34.71
01/02/2022,13,HB_HOUSTON,29.58
01/02/2022,13,HB_NORTH,31.33
01/02/2022,13,HB_SOUTH,26.78
01/02/2022,13,HB_WEST,31.15
01/02/2022,14,HB_HOUSTON,26.65
01/02/2022,14,HB_NORTH,27.45
01/02/2022,14,HB_SOUTH,24.02
01/02/2022,14,HB_WEST,27.59
01/02/2022,15,HB_HOUSTON,25.68
01/02/2022,15,HB_NORTH,26.33
01/02/2022,15,HB_SOUTH,23.46
01/02/2022,15,HB_WEST,26.51
01/02/2022,16,HB_HOUSTON,25.22
01/02/2022,16,HB_NORTH,25.84
01/02/2022,16,HB_SOUTH,23.13
01/02/2022,16,HB_WEST,26.01
01/02/2022,17,HB_HOUSTON,30.4
01/02/2022,17,HB_NORTH,31.4
01/02/2022,17,HB_SOUTH,27.69
01/02/2022,17,HB_WEST,31.41
01/02/2022,18,HB_HOUSTON,78.12
01/02/2022,18,HB_NORTH,84.63
01/02/2022,18,HB_SOUTH,74.78
01/02/2022,18,HB_WEST,83.02
01/02/2022,19,HB_HOUSTON,91.17
01/02/2022,19,HB_NORTH,98.07
01/02/2022,19,HB_SOUTH,89.05
01/02/2022,19,HB_WEST,96.35
01/02/2022,20,HB_HOUSTON,70.67
01/02/2022,20,HB_NORTH,72.65
01/02/2022,20,HB_SOUTH,69.43
01/02/2022,20,HB_WEST,72.53
01/02/2022,21,HB_HOUSTON,61.36
